ID,N_VICTIMAS,LUGAR_DEL_HECHO,COMUNA,TIPO_DE_CALLE,LONGITUD,LATITUD,VICTIMA,ACUSADO,FATAL,FECHA_Y_HORA
2102,1,"DEAN FUNES 1433, BARRIO: SAN CRISTOBAL  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,AVENIDA,-58.405445,-34.627374,PEATON,SD,False,2019-01-05 11:55:00
2103,1,"SAN PEDRITO Y CHILAVERT, MARTINIANO, CORONEL 0, BARRIO: VILLA SOLDATI  , JURISDICCIÓN COMISARIA:  VECINAL 8B",8,AVENIDA,-58.442861,-34.657568,SD,SD,False,2019-01-05 10:30:00
2104,1,"MADERO, EDUARDO AV. Y GUEMES, MACACHA 0, BARRIO: SAN NICOLAS  , JURISDICCIÓN COMISARIA:  VECINAL 1E",1,AVENIDA,-58.36793,-34.605172,MOTO,PEATON,False,2019-01-05 06:00:00
2105,1,"PADILLA Y MALABIA 0, BARRIO: VILLA CRESPO  , JURISDICCIÓN COMISARIA:  VECINAL 15B",15,CALLE,-58.441826,-34.60066,PEATON,SD,False,2019-01-05 15:00:00
2106,1,"CABILDO AV. 3631, BARRIO: NUÑEZ VIA METROBUS , JURISDICCIÓN COMISARIA:  VECINAL 13B",13,AVENIDA,-58.467688,-34.549342,TRANSPORTE_PUBLICO,PEATON,False,2019-01-05 16:00:00
2107,1,"DE LA TORRE, LISANDRO Y BARROS PAZOS, JOSE 0, BARRIO: VILLA RIACHUELO  , JURISDICCIÓN COMISARIA:  VECINAL 8A",8,CALLE,-58.47462,-34.683043,MOTO,PEATON,False,2019-01-05 19:21:00
2108,2,"ASTURIAS AV. 2800, BARRIO: PARQUE AVELLANEDA  , JURISDICCIÓN COMISARIA:  VECINAL 9C",9,CALLE,-58.465951,-34.658307,SD,SD,False,2019-01-05 20:57:00
2109,1,"GAVILAN Y BIARRITZ 0, BARRIO: VILLA DEL PARQUE  , JURISDICCIÓN COMISARIA:  VECINAL 15A",15,AVENIDA,-58.474932,-34.604173,MOTO,TRANSPORTE_PUBLICO,False,2019-01-05 23:40:00
2110,1,"FLORES, VENANCIO, GRAL. Y CARRASCO AV. 0, BARRIO: VELEZ SARSFIELD  , JURISDICCIÓN COMISARIA:  VECINAL 10A",10,AVENIDA,-58.488908,-34.634216,PEATON,SD,False,2019-01-05 21:30:00
2111,1,"HELGUERA 2999, BARRIO: VILLA DEL PARQUE  , JURISDICCIÓN COMISARIA:  VECINAL 11B",11,AVENIDA,-58.493016,-34.601758,SD,SD,False,2019-01-05 22:00:00
2112,1,"ALBERDI, JUAN BAUTISTA AV. 3000, BARRIO: FLORES  , JURISDICCIÓN COMISARIA:  VECINAL 7C",7,CALLE,-58.469868,-34.633801,CICLISTA,PEATON,False,2019-01-06 02:06:00
2113,1,"COMISARIA:  VECINAL 1A. CALLE Y ALTURA:  PELLEGRINI, CARLOS 1175 PISO:  DPTO:  BARRIO: RETIRO",1,AVENIDA,-58.381483,-34.594546,PEATON,SD,False,2019-01-06 03:01:00
